Date,CO(Carbon Monoxide in mg / m3),CO
7/26/2015,2.42,2.11242413423777
7/27/2015,14.36,12.5348803998572
7/28/2015,12.51,10.9200107104605
7/29/2015,1.5,1.3093538022135
7/30/2015,1.86,1.62359871474473
7/31/2015,1.09,0.951463762941807
8/1/2015,9.97,8.7028382720457
8/2/2015,37.73,32.9346126383434
8/3/2015,25.13,21.9360406997501
8/4/2015,9.92,8.65919314530525
8/5/2015,48.07,41.9604248482685
8/6/2015,3.15,2.74964298464834
8/7/2015,1.16,1.01256694037844
8/8/2015,20.25,17.6762763298822
8/9/2015,8.78,7.66408425562299
8/10/2015,1.82,1.58868261335237
8/11/2015,29,25.3141735094609
8/12/2015,29.16,25.4538379150303
8/13/2015,34.69,30.2809889325241
8/14/2015,35.05,30.5952338450553
8/15/2015,16.67,14.551285255266
8/16/2015,9.03,7.88230988932524
8/17/2015,14.55,12.7007318814709
8/18/2015,21.83,19.0554623348804
8/19/2015,9.91,8.65046411995716
8/20/2015,1.31,1.14350232059979
8/21/2015,11.68,10.1955016065691
8/22/2015,1.14,0.995108889682256
8/23/2015,26.54,23.1668332738308
8/24/2015,1.16,1.01256694037844
8/25/2015,4.29,3.7447518743306
8/26/2015,1.43,1.24825062477687
8/27/2015,2.4,2.09496608354159
8/28/2015,1.96,1.71088896822563
8/29/2015,9.97,8.7028382720457
8/30/2015,2.76,2.40921099607283
8/31/2015,5.77,5.03664762584791
9/1/2015,5.26,4.59146733309532
9/2/2015,1.19,1.03875401642271
9/3/2015,1.42,1.23952159942878
9/4/2015,1.76,1.53630846126383
9/5/2015,1.47,1.28316672616923
9/6/2015,22.81,19.9109068189932
9/7/2015,9.83,8.58063191717244
9/8/2015,1.78,1.55376651196001
9/9/2015,13.22,11.5397715101749
9/10/2015,1.2,1.0474830417708
9/11/2015,3.19,2.7845590860407
9/12/2015,22.32,19.4831845769368
9/13/2015,19.24,16.7946447697251
9/14/2015,18.85,16.4542127811496
9/15/2015,1.06,0.925276686897537
9/16/2015,18.66,16.2883612995359
9/17/2015,1.7,1.48393430917529
9/18/2015,1.01,0.881631560157087
9/19/2015,8.24,7.19271688682613
9/20/2015,1.27,1.10858621920743
9/21/2015,2.15,1.87674044983934
9/22/2015,2.21,1.92911460192788
9/23/2015,2.13,1.85928239914316
9/24/2015,2.39,2.0862370581935
9/25/2015,3.05,2.66235273116744
9/26/2015,2.68,2.33937879328811
9/27/2015,2.26,1.97275972866833
